Billing Code,Category,Sub Category,Sub Category 2,Description,Charge $(provider),Charge T,Charge P,Charge P1,Charge(H)
W972,,,,Subsequent visits (see General Preamble GP49) - palliative care (see General Preamble GP50),34.1,,,,
W982,,,,Subsequent visits (see General Preamble GP49) - palliative care (see General Preamble GP50),34.1,,,,
W990,,,,,20,,,,
W991,,,,,20,,,,
W992,,,,,40,,,,
W993,,,,,40,,,,
W994,,,,,60,,,,
W995,,,,,60,,,,
W996,,,,,100,,,,
W997,,,,,100,,,,
W998,,,,,75,,,,
W999,,,,,75,,,,
X001,,,,,,29.9,13.25,,
X003,,,,,,14.9,6.4,,
X004,,,,,,21.7,10.3,,
X005,,,,,,14.9,6.4,,
X006,,,,,,21.7,10.35,,
X007,,,,,,21.7,10.35,,
X009,,,,,,37.25,16.4,,
X010,,,,,,28.65,14.25,,
X011,,,,,,21.7,10.35,,
X012,,,,,,29.9,13.25,,
X016,,,,Eye,,14.85,9.05,,
X017,,,,Eye,,15.3,20.4,,
X018,,,,Optic foramina,,16.85,9.05,,
X019,,,,Salivary gland region,,13.75,7.95,,
X020,,,,,,13.75,7.95,,
X025,,,,,,25.9,7.95,,
X027,,,,,,23.65,7.95,,
X028,,,,,,25.9,7.95,,
X031,,,,,,29.7,13.35,,
X032,,,,,,53.55,20.75,,
X033,,,,,,21.7,10.15,,
X034,,,,,,23.95,6.4,,
X035,,,,,,21.7,10.35,,
X036,,,,,,14.9,6.4,,
X037,,,,,,27.75,9.2,,
X038,,,,,,31.9,10.35,,
X039,,,,,,17.95,7.85,,
X040,,,,,,17.95,7.85,,
X045,,,,,,14.9,6.4,,
X046,,,,,,21.7,10.35,,
X047,,,,,,17.95,7.95,,
X048,,,,,,17.95,7.95,,
X049,,,,,,17.95,7.95,,
X050,,,,,,14.9,6.4,,
X051,,,,,,14.9,6.4,,
X052,,,,,,14.9,6.4,,
X053,,,,,,14.9,6.4,,
X054,,,,,,14.9,6.4,,
X055,,,,,,21.7,13.05,,
X056,,,,,,11.5,4.7,,
X057,,,,,,14.9,6.4,,
X058,,,,,,21.7,10.65,,
X060,,,,,,23.75,7.65,,
X063,,,,,,14.9,6.4,,
X064,,,,Leg length studies (orthoroentgenogram),,21.7,10.35,,
X065,,,,,,14.9,6.4,,
X066,,,,,,14.9,6.4,,
X067,,,,,,14.9,6.4,,
X068,,,,,,14.9,6.4,,
X069,,,,,,14.9,6.4,,
X072,,,,,,11.5,4.7,,
X080,,,,,,7.45,3.3,,
X081,,,,,,7.45,3.3,,
X090,,,,,,14.9,6.35,,
X091,,,,,,21.9,10.7,,
X092,,,,,,28.15,12.4,,
X096,,,,,,14.9,6.4,,
X100,,,,,,14.9,6.4,,
X101,,,,,,22.8,9.2,,
X103,,,,,,60.95,58.4,,
X104,,,,,,48.5,46.4,,
X105,,,,,,29.5,36.9,,
X106,,,,,,29.5,36.9,,
X107,,,,Oesophagus when X103,,26.7,21.4,,
X108,,,,,,46.3,38.15,,
X109,,,,,,59.1,49.8,,
X110,,,,Hypotonic duodenogram,,39.35,32.95,,
X111,,,,,,26.4,21.8,,
X112,,,,,,48.4,29.4,,
X113,,,,,,61.3,49.8,,
X114,,,,,,29.95,11.6,,
X116,,,,T-tube cholangiogram,,21.7,9.9,,
X117,,,,Operative cholangiogram,,21.7,11.1,,
X120,,,,,,39.8,11.6,,
X121,,,,Stereotactic core breast biopsy,,,83.15,,
X122,,,,Cholangiogram,,29.5,23.15,,
X123,,,,Operative pancreatogram or ERCP,,21.7,9,,
X124,,,,,,,108.3,,
X125,,,,,,,86.6,,
X126,,,,,,,108.3,,
X127,,,,,,,75.85,,
X128,,,,,,,108.3,,
X129,,,,,,21.7,9,,
X130,,,,Intravenous pyelogram including preliminary film,,49.65,22.75,,
X131,,,,Cystourethrogram (non-catheter),,5.75,4.75,,
X132,,,,,,48.9,34,,
X133,,,,,,79.9,51.05,,
X134,,,,Retrograde urethrogram,,17.95,6.8,,
X135,,,,Cystourethrogram,,27.5,13.8,,
X136,,,,Vasogram,,17.95,6.8,,
X137,,,,Cystogram (catheter),,23.85,8.4,,
X138,,,,Percutaneous antegrade pyelogram,,21.7,9,,
X139,,,,Percutaneous nephrostogram,,21.7,11.1,,
X140,,,,,,317.35,185.6,,
X141,,,,Cavernosography,,20.65,8.3,,
X142,,,,,,42.85,40.15,,
X145,,,,,,42.85,40.15,,
X146,,,,,,55.2,48,,
X147,,,,Hysterosalpingogram,,29.8,11.35,,
X148,,,,,,55.2,48,,
X149,,,,,,42.85,40.15,,
X150,,,,,,25.45,15.85,,
X151,,,,Cordotomy,,48.4,34.85,,
X152,,,,,,42.85,40.15,,
X153,,,,,,55.2,48,,
X154,,,,Penis,,15.95,4.7,,
X155,,,,,,55.2,48,,
X156,,,,Arthrogram,,26.25,27.5,,
X158,,,,,,28.95,23,,
X159,,,,,,38.4,34.6,,
X160,,,,,,48.9,34,,
X161,,,,,,78.6,69.65,,
X162,,,,,,59.2,23.1,,
X163,,,,Dacrocystogram,,29.6,11.6,,
X164,,,,,,28.95,23,,
X165,,,,Photographic subtraction,,,11.35,,
X166,,,,,,,,,
X167,,,,Fistula or sinus,,21.5,11.45,,
X168,,,,CT guidance of biopsy,,,42.5,,
X169,,,,Laminogram,,39.9,11.35,,
X170,,,,Laryngogram,,28.95,23,,
X171,,,,Lymphangiogram,,49,23.05,,
X172,,,,,,28.05,19.4,,
X173,,,,Myelogram - spine and/or posterior fossa,,34.95,27.3,,
X174,,,,,,29.8,15.5,,
X175,,,,,,39.35,30.9,,
X176,,,,Sialogram,,29.8,11.35,,
X177,,,,Skin thickness measurement,,15.6,9.2,,
X178,,,,,,37.15,31,,
X179,,,,,,29.6,15.85,,
X180,,,,,,38.95,31.35,,
X181,,,,,,59.65,30.9,,
X182,,,,,,79.3,37.45,,
X183,,,,Ventriculogram,,48.4,34.7,,
X184,,,,,,28.05,19.4,,
X185,,,,,,37.15,31,,
X188,,,,,,,75.85,,
X189,,,,,,7.3,23.75,,
X190,,,,Pantomography,,17.75,6.9,,
X191,,,,,,21.7,9,,
X192,,,,Mammary ductography,,25.05,10.65,,
X193,,,,Microradioscopy of the hands,,14.5,11.6,,
X194,,,,,,5.95,5.2,,
X195,,,,,,9.25,14.2,,
X196,,,,,,9.25,14.2,,
X197,,,,,,9.25,14.2,,
X198,,,,Splenoportogram,,59.1,22.6,,
X199,,,,Translumbar aortogram,,59.1,22.6,,
X200,,,,,,36.7,45.55,,
X201,,,,Breast biopsy specimen x-ray,,5.95,5.2,,
X202,,,,,,33.4,10.75,,
X203,,,,,,40.35,13.25,,
X204,,,,,,29.9,10.65,,
X205,,,,,,33.4,10.75,,
X206,,,,,,40.35,13.35,,
X207,,,,,,31.05,10.65,,
X208,,,,,,28.95,13.05,,
X209,,,,,,22.9,8.9,,
X210,,,,,,29.6,13.05,,
X211,,,,,,25.6,10.9,,
X212,,,,,,25.6,10.65,,
X213,,,,,,25.8,10.65,,
X214,,,,,,22.75,9.3,,
X215,,,,,,22.9,9.05,,
X216,,,,,,30.85,11.65,,
X217,,,,,,22.9,9.05,,
X218,,,,,,22.9,9.05,,
X219,,,,,,22.9,9.05,,
X220,,,,,,27.65,15.7,,
X221,,,,,,14.9,6.4,,
X223,,,,,,22.2,9.05,,
X224,,,,,,22.9,9.05,,
X225,,,,,,30.85,11.65,,
X226,,,,,,22.9,9.05,,
X227,,,,,,22.9,9.05,,
X228,,,,,,22.9,9.05,,
X229,,,,,,22.9,9.05,,
X230,,,,,,14.9,9.05,,
X231,,,,,,,86.6,,
X232,,,,,,,97.5,,
X233,,,,,,,108.3,,
X234,,,,CT colonography,,,235.3,,
X235,,,,Cardio-thoracic,,,147.5,,
X302,,,,,15.9,,,,
X304,,,,,11.95,,,,
X305,,,,,170.85,,,,
X306,,,,,85.5,,,,
X310,,,,,215.35,,,,
X311,,,,Level 2 - Intermediate Treatment Planning - per patient,374.6,,,,
X312,,,,Level 3 - Complex Treatment Planning - per patient,680.45,,,,
X313,,,,Level 4 - Full 3D Treatment Preparation - per patient,811.15,,,,
X322,,,,,71.3,,,,
X323,,,,,223.65,,,,
X324,,,,Interstitial application of radium or sealed radioisotope,223.65,,,,
X325,,,,,69.8,,,,
X326,,,,,100,,,,
X327,,,,,80,,,,
X328,,,,,100,,,,
X329,,,,,100,,,,
X330,,,,,100,,,,
X332,,,,,80,,,,
X334,,,,,111.9,,,,
X335,,,,,80,,,,
X336,,,,,100,,,,
X400,,,,,,,43.25,,
X401,,,,,,,64.95,,
X402,,,,,,,64.95,,
X403,,,,,,,86.6,,
X404,,,,,,,97.5,,
X405,,,,Complex head - with IV contrast,,,75.85,,
X406,,,,,,,64.95,,
X407,,,,,,,75.85,,
X408,,,,,,,86.6,,
X409,,,,,,,86.6,,
X410,,,,,,,97.5,,
X412,,,,,,,43.25,,
X413,,,,,,,64.95,,
X415,,,,,,,86.6,,
X416,,,,,,,97.5,,
X417,,,,,,,32.7,,
X421,,,,,,,73.35,,
X425,,,,,,,36.7,,
X431,,,,,,,73.35,,
X435,,,,,,,36.7,,
X441,,,,,,,73.35,,
X445,,,,,,,36.7,,
X446,,,,,,,73.35,,
X447,,,,,,,36.7,,
X451,,,,,,,73.35,,
X455,,,,,,,36.7,,
X461,,,,,,,73.35,,
X465,,,,,,,36.7,,
X471,,,,,,,62.8,,
X475,,,,,,,31.45,,
X480,,,,,,,285,,
X481,,,,,,,285,,
X486,,,,,,,,,
X487,,,,,,,36.65,,
X488,,,,,,,108.8,,
X489,,,,,,,54.35,,
X490,,,,,,,59.5,,
X492,,,,,,,29.85,,
X493,,,,,,,68.45,,
X495,,,,,,,34.15,,
X496,,,,,,,101.65,,
X498,,,,,,,50.65,,
X499,,,,,,,32.7,,
Z080,,,,Wound and ulcer debridement;Debridement of wound(s) and/or ulcer(s) extending into subcutaneous tissue - one,20,,,,
Z081,,,,Wound and ulcer debridement;Debridement of wound(s) and/or ulcer(s) extending into subcutaneous tissue - two,30,,,,
Z082,,,,Wound and ulcer debridement;Debridement of wound(s) and/or ulcer(s) extending into subcutaneous tissue - three,45,,,,
Z083,,,,Wound and ulcer debridement;Debridement of wound(s) and/or ulcer(s) extending into subcutaneous tissue - four or more,60,,,,
Z084,,,,"Wound and ulcer debridement;Debridement of wound(s) and/or ulcer(s) extending into any of the following structures: tendon, 
 ligament, bursa and/or bone - one",60,,,,
Z085,,,,"Wound and ulcer debridement;Debridement of wound(s) and/or ulcer(s) extending into any of the following structures: tendon, 
 ligament, bursa and/or bone - two or more",90,,,,
Z094,,,,,75.45,,,,
Z095,,,,,37.7,,,,
Z096,,,,Group 4 - other lesions;Lipoma - 5 to 10 cm,80,,,,
Z097,,,,,160,,,,
Z100,,,,,,,,,
Z101,,,,,25.75,,,,
Z102,,,,,44.35,,,,
Z103,,,,,44.35,,,,
Z104,,,,,20.1,,,,
Z105,,,,,66,,,,
Z106,,,,,44.35,,,,
Z107,,,,,108,,,,
Z108,,,,,72,,,,
Z110,,,,,17.45,,,,
Z111,,,,,15.35,,,,
Z112,,,,,50.9,,,,
Z113,,,,,29.6,,,,
Z114,,,,,25.25,,,,
Z115,,,,,88.8,,,,
Z116,,,,,29.6,,,,
Z117,,,,,11.65,,,,
Z118,,,,Aspiration of superficial l ump for cytology,28.25,,,,
Z119,,,,,29,,,,
Z122,,,,,38.5,,,,
Z123,,,,,67.8,,,,
Z124,,,,,78,,,,
Z125,,,,,32,,,,
Z126,,,,,45,,,,
Z127,,,,,60,,,,
Z128,,,,,33.1,,,,
Z129,,,,,35.7,,,,
Z130,,,,,62.75,,,,
Z131,,,,,82.65,,,,
Z132,,,,,304.1,,,,
Z135,,,,,195.95,,,,
Z137,,,,Percutaneous inflation of first tissue expander,23.05,,,,
Z138,,,,,195.85,,,,
Z139,,,,,37.2,,,,
Z140,,,,,33,,,,
Z141,,,,,37.2,,,,
Z142,,,,,150,,,,
Z143,,,,,132.75,,,,
Z145,,,,,65.35,,,,
Z146,,,,,98.55,,,,
Z147,,,,,162.55,,,,
Z148,,,,,,,,,
Z149,,,,,50,,,,
Z150,,,,,65.55,,,,
Z151,,,,,98.55,,,,
Z152,,,,,,,,,
Z154,,,,,35.9,,,,
Z155,,,,,,,,,
Z156,,,,,20,,,,
Z157,,,,,26.5,,,,
Z158,,,,,44.25,,,,
Z159,,,,,10.55,,,,
Z160,,,,,15.85,,,,
Z161,,,,,26.2,,,,
Z162,,,,,20,,,,
Z163,,,,,26.5,,,,
Z164,,,,,44.25,,,,
Z165,,,,,,,,,
Z172,,,,,66.6,,,,
Z173,,,,,30.35,,,,
Z174,,,,,40.8,,,,
Z175,,,,,35.9,,,,
Z176,,,,,20,,,,
Z177,,,,,71.3,,,,
Z179,,,,,50.4,,,,
Z180,,,,,106.25,,,,
Z181,,,,,53.1,,,,
Z182,,,,,255.05,,,,
Z187,,,,"Complex laceration repair, face",92.3,,,,
Z188,,,,,92.3,,,,
Z189,,,,,92.3,,,,
Z190,,,,,101.45,,,,
Z191,,,,,77.3,,,,
Z192,,,,,154.95,,,,
Z196,,,,,377.65,,,,
Z197,,,,,49.2,,,,
Z198,,,,Toes,10.25,,,,
Z199,,,,Foot,14.9,,,,
Z200,,,,Application of Unna's paste,14.9,,,,
Z201,,,,Finger,10.25,,,,
Z202,,,,Hand,14.9,,,,
Z203,,,,"Arm, forearm or wrist",24.1,,,,
Z204,,,,,10.25,,,,
Z205,,,,,97.35,,,,
Z206,,,,,57.5,,,,
Z207,,,,,97.35,,,,
Z208,,,,,97.35,,,,
Z209,,,,,121.6,,,,
Z210,,,,,33.35,,,,
Z211,,,,,28.8,,,,
Z212,,,,,89.7,,,,
Z213,,,,,24.1,,,,
Z214,,,,,144.8,,,,
Z216,,,,Wedging of casts in other than fracture treatment,10.25,,,,
Z217,,,,,72.35,,,,
Z219,,,,"Muscle needle biopsy, soft tissue, per site",31.2,,,,
Z220,,,,,89.7,,,,
Z221,,,,,49.2,,,,
Z222,,,,,134.1,,,,
Z223,,,,,49.2,,,,
Z224,,,,,39,,,,
Z225,,,,,72.35,,,,
Z226,,,,,97.35,,,,
Z227,,,,,101.65,,,,
Z228,,,,,97.35,,,,
Z229,,,,,49.2,,,,
Z230,,,,,89.7,,,,
Z231,,,,,73.7,,,,
Z232,,,,,49.2,,,,
Z233,,,,,97.35,,,,
Z234,,,,,281.25,,,,
Z235,,,,,19.45,,,,
Z237,,,,,49.2,,,,
Z238,,,,,72.35,,,,
Z239,,,,,133,,,,
Z240,,,,,204.8,,,,
Z242,,,,,193,,,,
Z243,,,,,97.35,,,,
Z245,,,,,152.85,,,,
Z247,,,,,49.2,,,,
Z248,,,,,72.35,,,,
Z249,,,,,99.15,,,,
Z250,,,,,193,,,,
Z251,,,,,49.2,,,,
Z252,,,,Manipulation - under general anaesthetic,39,,,,
Z253,,,,,394.8,,,,
Z254,,,,,507.45,,,,
Z255,,,,,394.8,,,,
Z256,,,,,507.45,,,,
Z257,,,,,337.85,,,,
Z258,,,,,450.5,,,,
Z259,,,,,450.5,,,,
Z260,,,,,563.1,,,,
Z261,,,,,450.5,,,,
Z262,,,,,563.1,,,,
Z263,,,,,102.35,,,,
Z264,,,,,154,,,,
Z265,,,,,230.65,,,,
Z266,,,,,204.8,,,,
Z267,,,,,184.6,,,,
Z268,,,,,230.65,,,,
Z269,,,,,154,,,,
Z270,,,,,189.45,,,,
Z271,,,,,184.6,,,,
Z273,,,,,63.35,,,,
Z279,,,,,193,,,,
Z280,,,,,72.35,,,,
Z281,,,,,145.7,,,,
Z290,,,,,63.95,,,,
Z291,,,,,24.1,,,,
Z292,,,,,61.3,,,,
Z293,,,,,61.3,,,,
Z296,,,,,20.1,,,,
Z297,,,,Insertion of prosthesis for nasal septal perforation,18.3,,,,
Z298,,,,,41.25,,,,
Z299,,,,,8.55,,,,
Z301,,,,,55.6,,,,
Z302,,,,,55.6,,,,
Z303,,,,,240.2,,,,
Z304,,,,,21,,,,
Z305,,,,,55.6,,,,
Z306,,,,,55.6,,,,
Z308,,,,,55.6,,,,
Z309,,,,,18.3,,,,
Z310,,,,,50.9,,,,
Z311,,,,,10.55,,,,
Z312,,,,,50.9,,,,
Z313,,,,,123.7,,,,
Z314,,,,Cauterization - unilateral,11.5,,,,
Z315,,,,Anterior packing - unilateral,15.35,,,,
Z316,,,,,35.5,,,,
Z317,,,,,112.05,,,,
Z318,,,,,133.3,,,,
Z319,,,,,43.15,,,,
Z320,,,,,25.85,,,,
Z322,,,,,106.45,,,,
Z323,,,,,226.35,,,,
Z324,,,,,44.7,,,,
Z325,,,,,474.65,,,,
Z326,,,,,12.5,,,,
Z327,,,,,124.9,,,,
Z328,,,,,475.8,,,,
Z329,,,,,380,,,,
Z330,,,,,490,,,,
Z331,,,,Aspiration for diagnostic sample,37.35,,,,
Z332,,,,,68.1,,,,
Z333,,,,,317.2,,,,
Z334,,,,,304.6,,,,
Z335,,,,,242.35,,,,
Z336,,,,,59.15,,,,
Z337,,,,,133.1,,,,
Z338,,,,,202.8,,,,
Z339,,,,,182.9,,,,
Z340,,,,,158.7,,,,
Z341,,,,,76.8,,,,
Z342,,,,,112.55,,,,
Z343,,,,,202.35,,,,
Z344,,,,,45.95,,,,
Z345,,,,,18.6,,,,
Z346,,,,,22.35,,,,
Z347,,,,,300,,,,
Z348,,,,,605.85,,,,
Z349,,,,,23.25,,,,
Z350,,,,,123.7,,,,
Z351,,,,,122.4,,,,
Z352,,,,,50,,,,
Z353,,,,,110.9,,,,
Z354,,,,,142.2,,,,
Z355,,,,,321.45,,,,
Z356,,,,,133.95,,,,
Z357,,,,,228.25,,,,
Z358,,,,,111.2,,,,
Z359,,,,,56.65,,,,
Z360,,,,,474.65,,,,
Z361,,,,Insertion of indwelling catheter,200,,,,
Z362,,,,,200,,,,
Z363,,,,,20,,,,
Z399,,,,,92.5,,,,
Z400,,,,,125.1,,,,
Z401,,,,,131.7,,,,
Z402,,,,,117.3,,,,
Z403,,,,,101.25,,,,
Z404,,,,,100.45,,,,
Z405,,,,,186.9,,,,
Z406,,,,,247.75,,,,
Z407,,,,,108.05,,,,
Z409,,,,,162.2,,,,
Z410,,,,,92.4,,,,
Z411,,,,,62.95,,,,
Z412,,,,,110.75,,,,
Z413,,,,,31.25,,,,
Z414,,,,,23.1,,,,
Z415,,,,,339.45,,,,
Z422,,,,,210.55,,,,
Z423,,,,,690.25,,,,
Z424,,,,,297.15,,,,
Z425,,,,,506.75,,,,
Z426,,,,,62.55,,,,
Z427,,,,,330.45,,,,
Z428,,,,,598.5,,,,
Z429,,,,,299.25,,,,
Z430,,,,,,,,,
Z431,,,,,64.25,,,,
Z432,,,,,54.1,,,,
Z433,,,,,146.45,,,,
Z434,,,,,467.05,,,,
Z435,,,,,154.1,,,,
Z436,,,,,166.55,,,,
Z437,,,,,92.45,,,,
Z438,,,,,162.5,,,,
Z439,,,,,166.9,,,,
Z440,,,,,208.5,,,,
Z441,,,,,297.15,,,,
Z442,,,,,286.75,,,,
Z443,,,,,154.1,,,,
Z444,,,,,323.75,,,,
Z445,,,,,323.75,,,,
Z446,,,,,168,,,,
Z447,,,,,85.25,,,,
Z448,,,,,487.9,,,,
Z449,,,,,415.15,,,,
Z455,,,,,44.7,,,,
Z456,,,,,193.4,,,,
Z457,,,,,48.9,,,,
Z459,,,,Arterial puncture for blood gas analysis,10.2,,,,
Z460,,,,,377.55,,,,
Z461,,,,,566.2,,,,
Z463,,,,Removal of Norplant,65.3,,,,
Z464,,,,,150,,,,
Z465,,,,,198.55,,,,
Z466,,,,,347.45,,,,
Z475,,,,,56.7,,,,
Z477,,,,,39.6,,,,
Z478,,,,Vaginoscopy (premenarchal) with or without medication,56.7,,,,
Z480,,,,,85.3,,,,
Z491,,,,,51.95,,,,
Z492,,,,,51.95,,,,
Z493,,,,,51.95,,,,
Z494,,,,,51.95,,,,
Z495,,,,Colonoscopy - For diagnosis or ongoing management;Follow up of unsatisfactory colonoscopy,51.95,,,,
Z496,,,,Colonoscopy - For diagnosis or ongoing management;Presence of signs or symptoms - sigmoid to descending colon,51.95,,,,
Z497,,,,Colonoscopy for Risk Evaluation;Confirmatory colonoscopy - sigmoid to descending colon,51.95,,,,
Z498,,,,Z499 or Z555,51.95,,,,
Z499,,,,,51.95,,,,
Z500,,,,,30.65,,,,
Z501,,,,Biopsy,35.5,,,,
Z502,,,,,71,,,,
Z503,,,,,35.4,,,,
Z504,,,,Excision of lesion,61.15,,,,
Z505,,,,,37.2,,,,
Z506,,,,,50.9,,,,
Z510,,,,,91.1,,,,
Z511,,,,Dilation and/or probing of duct,43.15,,,,
Z512,,,,,36.8,,,,
Z513,,,,,107.5,,,,
Z514,,,,,44.55,,,,
Z515,,,,,68.25,,,,
Z516,,,,,150.15,,,,
Z517,,,,,150.15,,,,
Z518,,,,,150.15,,,,
Z520,,,,Change of gastrostomy tube,10.65,,,,
Z521,,,,,103.6,,,,
Z522,,,,,51.25,,,,
Z523,,,,,52.9,,,,
Z524,,,,,271.05,,,,
Z525,,,,,110.85,,,,
Z526,,,,,73.6,,,,
Z527,,,,,82.9,,,,
Z528,,,,,67.85,,,,
Z529,,,,,40.55,,,,
Z530,,,,,27.35,,,,
Z531,,,,,26.4,,,,
Z532,,,,,172.95,,,,
Z533,,,,,36.8,,,,
Z535,,,,,36.8,,,,
Z536,,,,,44.55,,,,
Z537,,,,,97.05,,,,
Z538,,,,,25.25,,,,
Z539,,,,,25.25,,,,
Z540,,,,,79.8,,,,
Z541,,,,,58.15,,,,
Z542,,,,,85.25,,,,
Z543,,,,Anoscopy (proctoscopy),8.7,,,,
Z544,,,,,34.9,,,,
Z545,,,,Thrombosed haemorrhoid(s),25.25,,,,
Z546,,,,,34.6,,,,
Z547,,,,,99.75,,,,
Z548,,,,Cauterization of fissure,34.9,,,,
Z549,,,,,30.95,,,,
Z550,,,,,12.05,,,,
Z551,,,,,87.8,,,,
Z552,,,,,149.65,,,,
Z553,,,,,196.65,,,,
Z554,,,,,102.1,,,,
Z555,,,,,51.95,,,,
Z558,,,,,300.25,,,,
Z560,,,,,92.1,,,,
Z561,,,,,213.15,,,,
Z562,,,,,116.2,,,,
Z563,,,,,48,,,,
Z564,,,,,73.6,,,,
Z565,,,,,99.6,,,,
Z566,,,,,39.1,,,,
Z569,,,,,122.05,,,,
Z571,,,,,150.15,,,,
Z574,,,,,94.85,,,,
Z575,,,,Haemorrhoid injections (to a maximum of 6 per year),27.05,,,,
Z576,,,,Injections for anal f issure,35.9,,,,
Z577,,,,,122.05,,,,
Z578,,,,,93,,,,
Z580,,,,,57.7,,,,
Z582,,,,,111.5,,,,
Z583,,,,,133.7,,,,
Z584,,,,,185.15,,,,
Z585,,,,,149.6,,,,
Z586,,,,,368.75,,,,
Z587,,,,,206.35,,,,
Z590,,,,,31.3,,,,
Z591,,,,,57.65,,,,
Z592,,,,,49.4,,,,
Z593,,,,,55.25,,,,
Z594,,,,,331.9,,,,
Z595,,,,,54.05,,,,
Z596,,,,,314.2,,,,
Z597,,,,Intracavitary/intratumoural i njections,103.75,,,,
Z600,,,,,44,,,,
Z601,,,,,143.55,,,,
Z602,,,,,8.55,,,,
Z603,,,,,16.25,,,,
Z604,,,,,39.6,,,,
Z605,,,,Aspiration,12.5,,,,
Z606,,,,,71.85,,,,
Z607,,,,,35.5,,,,
Z608,,,,Manual catheter declotting and irrigation of bladder,58.65,,,,
Z609,,,,,31.6,,,,
Z610,,,,,25.65,,,,
Z611,,,,,8.55,,,,
Z612,,,,,250,,,,
Z615,,,,,59.75,,,,
Z616,,,,,23.55,,,,
Z617,,,,,35.5,,,,
Z618,,,,,77.7,,,,
Z619,,,,,52.7,,,,
Z620,,,,,41.65,,,,
Z621,,,,,19.2,,,,
Z622,,,,,9.9,,,,
Z623,,,,,95.1,,,,
Z624,,,,,105.25,,,,
Z625,,,,,52.7,,,,
Z626,,,,,95.95,,,,
Z627,,,,,168.25,,,,
Z628,,,,,125.7,,,,
Z629,,,,,153.35,,,,
Z630,,,,,314.2,,,,
Z631,,,,,45.15,,,,
Z632,,,,,271.35,,,,
Z633,,,,,437.2,,,,
Z634,,,,,437.2,,,,
Z636,,,,,273.25,,,,
Z637,,,,,262.75,,,,
Z638,,,,,450,,,,
Z700,,,,Intracorporeal injection for impotence,27.8,,,,
Z701,,,,,32.6,,,,
Z702,,,,Biopsy,39.6,,,,
Z703,,,,,55.15,,,,
Z704,,,,,55.15,,,,
Z705,,,,,83.35,,,,
Z706,,,,,120.8,,,,
Z707,,,,,55.15,,,,
Z708,,,,Hydrocele aspiration,19.8,,,,
Z709,,,,,39.6,,,,
Z710,,,,,55.15,,,,
Z711,,,,,120.8,,,,
Z712,,,,,85.45,,,,
Z713,,,,,92.1,,,,
Z714,,,,,25.4,,,,
Z715,,,,,56.7,,,,
Z716,,,,,89.8,,,,
Z720,,,,Biopsy - with or without fulguration,20,,,,
Z721,,,,,67.75,,,,
Z722,,,,,39.6,,,,
Z723,,,,,97.2,,,,
Z724,,,,Electro,8.55,,,,
Z725,,,,,50.9,,,,
Z726,,,,"Aspiration, thyroid cyst",38,,,,
Z727,,,,,71.3,,,,
Z728,,,,"Incision and drainage of cyst, abscess or haematoma",97.2,,,,
Z729,,,,,38.35,,,,
Z730,,,,,28.35,,,,
Z731,,,,,53.5,,,,
Z732,,,,Cryotherapy,17.3,,,,
Z733,,,,,12,,,,
Z734,,,,,58,,,,
Z735,,,,,56.7,,,,
Z736,,,,,32.6,,,,
Z737,,,,,215.8,,,,
Z738,,,,,216.1,,,,
Z740,,,,,133.8,,,,
Z741,,,,,273.15,,,,
Z742,,,,,106.45,,,,
Z743,,,,,307.8,,,,
Z744,,,,,123.05,,,,
Z745,,,,,53.2,,,,
Z746,,,,,74.25,,,,
Z747,,,,,74.25,,,,
Z748,,,,,148.6,,,,
Z749,,,,,72.55,,,,
Z750,,,,,82.35,,,,
Z751,,,,,127.95,,,,
Z752,,,,,82.35,,,,
Z753,,,,,24.25,,,,
Z754,,,,,82.35,,,,
Z755,,,,,142.4,,,,
Z756,,,,,36.8,,,,
Z757,,,,Excision of benign anal lesion(s),47.15,,,,
Z758,,,,,97.65,,,,
Z759,,,,,189.55,,,,
Z760,,,,,251.85,,,,
Z761,,,,,219.9,,,,
Z762,,,,,102.1,,,,
Z763,,,,Paracentesis with lavage for diagnosis,38.7,,,,
Z764,,,,,69.8,,,,
Z765,,,,,131.75,,,,
Z766,,,,,85.65,,,,
Z767,,,,,78.6,,,,
Z768,,,,,99,,,,
Z769,,,,,124.6,,,,
Z770,,,,Endometrial sampling,37.85,,,,
Z771,,,,,38,,,,
Z772,,,,,81.45,,,,
Z773,,,,,165.4,,,,
Z774,,,,,113.65,,,,
Z775,,,,,67.75,,,,
Z776,,,,,40.8,,,,
Z777,,,,,60.35,,,,
Z778,,,,,102,,,,
Z779,,,,,153,,,,
Z780,,,,,219.8,,,,
Z781,,,,,39,,,,
Z782,,,,,82.55,,,,
Z783,,,,,97.35,,,,
Z784,,,,,213.5,,,,
Z785,,,,,582.95,,,,
Z787,,,,,53.5,,,,
Z788,,,,,366.5,,,,
Z801,,,,,51.5,,,,
Z802,,,,,81.65,,,,
Z803,,,,,53.1,,,,
Z804,,,,Lumbar puncture,150,,,,
Z807,,,,,266.6,,,,
Z808,,,,,317.85,,,,
Z809,,,,,428.9,,,,
Z811,,,,Intravenous drug test for pain,54.1,,,,
Z812,,,,,279.55,,,,
Z813,,,,,560.85,,,,
Z815,,,,,200,,,,
Z816,,,,,241,,,,
Z818,,,,,215.35,,,,
Z820,,,,,367.95,,,,
Z821,,,,,53.1,,,,
Z823,,,,,404.3,,,,
Z824,,,,,266.6,,,,
Z825,,,,,731.2,,,,
Z826,,,,,184,,,,
